,Highest Charting Position,Number of Times Charted,Weeks_Start,Weeks_End,Streams,Artist,Artist Followers,Song ID,Genre,General_Genre,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
0,1,8,7/23/21,7/30/21,"48,633,449",Måneskin,3377762,3Wrjm47oTz2sjIgck11l5e,"['indie rock italiano', 'italian pop']",rock,-4.808,0.0504,0.127,0.359,134.002,211560,0.589,B
1,2,3,7/23/21,7/30/21,"47,248,719",The Kid LAROI,2230022,5HCyWlXZPP0y6Gqq8TgA20,['australian hip hop'],hip hop,-5.484,0.0483,0.0383,0.103,169.928,141806,0.478,C#/Db
2,1,11,6/25/21,7/2/21,"40,162,559",Olivia Rodrigo,6266514,4ZtFanR9U6ndgddUvNcjcG,['pop'],pop,-5.044,0.154,0.335,0.0849,166.928,178147,0.688,A
3,3,5,7/2/21,7/9/21,"37,799,456",Ed Sheeran,83293380,6PQ88X9TkUIAUIZJHW2upE,"['pop', 'uk pop']",pop,-3.712,0.0348,0.0469,0.364,126.026,231041,0.591,B
4,5,1,7/23/21,7/30/21,"33,948,454",Lil Nas X,5473565,27NovPIUIRrOZoCHxABJwK,"['lgbtq+ hip hop', 'pop rap']",hip hop,-7.409,0.0615,0.0203,0.0501,149.995,212000,0.894,D#/Eb
5,1,18,5/7/21,5/14/21,"30,071,134",Lil Nas X,5473565,67BtfxlNbhBmCDR2L2l8qd,"['lgbtq+ hip hop', 'pop rap']",hip hop,-6.682,0.152,0.297,0.384,178.818,137876,0.758,G#/Ab
6,3,16,5/14/21,5/21/21,"29,356,736",Doja Cat,8640063,748mdHapucXQri7IAO8yFK,"['dance pop', 'pop']",pop,-3.541,0.0286,0.235,0.123,110.968,208867,0.742,G#/Ab
7,2,10,6/18/21,6/25/21,"26,951,613",Rauw Alejandro,6080597,4fSIb4hdOQ151TILNsSEaF,"['puerto rican pop', 'trap latino']",pop,-3.605,0.0506,0.31,0.0932,127.949,199604,0.342,D#/Eb
8,3,8,6/18/21,6/25/21,"25,030,128",Bad Bunny,36142273,2JPLbjOn0wPCngEot2STUS,"['latin', 'reggaeton', 'trap latino']",latin,-4.601,0.118,0.276,0.135,179.951,206710,0.44,C#/Db
9,8,10,7/2/21,7/9/21,"24,551,591",Måneskin,3377762,4pt5fDVTg5GhEvEtlz9dKk,"['indie rock italiano', 'italian pop']",rock,-4.008,0.0387,0.00165,0.178,132.507,173347,0.958,C#/Db
10,4,43,5/7/21,5/14/21,"23,518,010",Dua Lipa,27142474,463CkQjx2Zk1yXoBuierM9,"['dance pop', 'pop', 'uk pop']",pop,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915,F#/Gb
11,9,9,7/2/21,7/9/21,"22,405,111","J Balvin, Maria Becerra",29051363,6hf0RpxTbOprT5nnwzkk8e,"['latin', 'reggaeton', 'reggaeton colombiano']",latin,-3.964,0.106,0.0261,0.173,101.968,217773,0.768,G#/Ab
12,5,3,7/9/21,7/16/21,"22,062,812",BTS,37106176,0LThjFY2iTtNdd4wviwVV2,"['k-pop', 'k-pop boy group']",pop,-5.33,0.0427,0.00544,0.337,124.925,187585,0.646,A
13,1,19,4/2/21,4/9/21,"20,294,457",Justin Bieber,48504126,4iJyoBOLtHqaGxP12qzhQI,"['canadian pop', 'pop', 'post-teen pop']",pop,-6.181,0.119,0.321,0.42,90.03,198082,0.464,C
14,2,10,5/21/21,5/28/21,"19,985,713",BTS,37106176,2bgTY4UwhfBYhGT4HUYStN,"['k-pop', 'k-pop boy group']",pop,-5.187,0.0948,0.00323,0.0906,109.997,164442,0.695,G#/Ab
